seg set 16 17:00:33 -03 2019 Starting master on hadoopmaster
core file size          (blocks, -c) 0
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 59733
max locked memory       (kbytes, -l) 65536
max memory size         (kbytes, -m) unlimited
open files                      (-n) 1024
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 8192
cpu time               (seconds, -t) unlimited
max user processes              (-u) 59733
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2019-09-16 17:00:34,559 INFO  [main] master.HMaster: STARTING service HMaster
2019-09-16 17:00:34,560 INFO  [main] util.VersionInfo: HBase 2.1.2
2019-09-16 17:00:34,560 INFO  [main] util.VersionInfo: Source code repository git://kalashnikov/Users/stack/checkouts/hbase.git revision=1dfc418f77801fbfb59a125756891b9100c1fc6d
2019-09-16 17:00:34,560 INFO  [main] util.VersionInfo: Compiled by stack on Sun Dec 30 21:45:09 PST 2018
2019-09-16 17:00:34,560 INFO  [main] util.VersionInfo: From source with checksum 5701bcce2fc4832a4b2990adc735b516
2019-09-16 17:00:34,910 INFO  [main] master.HMasterCommandLine: Starting a zookeeper cluster
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:zookeeper.version=3.4.10-39d3a4f269333c922ed3db283be479f9deacaa0f, built on 03/23/2017 10:13 GMT
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:host.name=hadoopmaster.solutis.net.br
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:java.version=1.8.0_222
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:java.vendor=Private Build
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: uce/lib/paranamer-2.3.jar:/services/hadoop/share/hadoop/mapreduce/lib/avro-1.7.7.jar:/services/hadoop/share/hadoop/mapreduce/lib/aopalliance-1.0.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-hs-plugins-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-jobclient-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-app-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-jobclient-2.9.2-tests.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-core-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-common-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-shuffle-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-hs-2.9.2.jar:/services/hadoop/contrib/capacity-scheduler/*.jar:/services/hbase/lib/client-facing-thirdparty/slf4j-log4j12-1.7.25.jar
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:java.library.path=/services/hadoop/lib/native
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:java.io.tmpdir=/tmp
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:java.compiler=<NA>
2019-09-16 17:00:34,918 INFO  [main] server.ZooKeeperServer: Server environment:os.name=Linux
2019-09-16 17:00:34,919 INFO  [main] server.ZooKeeperServer: Server environment:os.arch=amd64
2019-09-16 17:00:34,919 INFO  [main] server.ZooKeeperServer: Server environment:os.version=5.0.0-27-generic
2019-09-16 17:00:34,919 INFO  [main] server.ZooKeeperServer: Server environment:user.name=hadoop
2019-09-16 17:00:34,919 INFO  [main] server.ZooKeeperServer: Server environment:user.home=/home/hadoop
2019-09-16 17:00:34,919 INFO  [main] server.ZooKeeperServer: Server environment:user.dir=/services
2019-09-16 17:00:34,926 INFO  [main] server.ZooKeeperServer: Created server with tickTime 2000 minSessionTimeout 4000 maxSessionTimeout 40000 datadir /tmp/hbase-hadoop/zookeeper/zookeeper_0/version-2 snapdir /tmp/hbase-hadoop/zookeeper/zookeeper_0/version-2
2019-09-16 17:00:34,926 INFO  [main] server.ZooKeeperServer: minSessionTimeout set to -1
2019-09-16 17:00:34,926 INFO  [main] server.ZooKeeperServer: maxSessionTimeout set to -1
2019-09-16 17:00:34,932 INFO  [main] server.NIOServerCnxnFactory: binding to port 0.0.0.0/0.0.0.0:2181
2019-09-16 17:00:34,975 ERROR [main] server.ZooKeeperServer: ZKShutdownHandler is not registered, so ZooKeeper server won't take any action on ERROR or SHUTDOWN server state changes
2019-09-16 17:00:34,978 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.NIOServerCnxnFactory: Accepted socket connection from /127.0.0.1:51922
2019-09-16 17:00:34,984 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.ServerCnxn: The list of known four letter word commands is : [{1936881266=srvr, 1937006964=stat, 2003003491=wchc, 1685417328=dump, 1668445044=crst, 1936880500=srst, 1701738089=envi, 1668247142=conf, 2003003507=wchs, 2003003504=wchp, 1668247155=cons, 1835955314=mntr, 1769173615=isro, 1920298859=ruok, 1735683435=gtmk, 1937010027=stmk}]
2019-09-16 17:00:34,984 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.ServerCnxn: The list of enabled four letter word commands is : [[wchs, stat, wchp, stmk, conf, ruok, mntr, srvr, wchc, envi, srst, isro, dump, gtmk, crst, cons]]
2019-09-16 17:00:34,984 INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181] server.NIOServerCnxn: Processing stat command from /127.0.0.1:51922
2019-09-16 17:00:34,986 INFO  [Thread-2] server.NIOServerCnxn: Stat command output
2019-09-16 17:00:34,986 INFO  [Thread-2] server.NIOServerCnxn: Closed socket connection for client /127.0.0.1:51922 (no session established for client)
2019-09-16 17:00:34,987 INFO  [main] zookeeper.MiniZooKeeperCluster: Started MiniZooKeeperCluster and ran successful 'stat' on client port=2181
2019-09-16 17:00:34,987 INFO  [main] master.HMasterCommandLine: Starting up instance of localHBaseCluster; master=1, regionserversCount=1
2019-09-16 17:00:35,403 INFO  [main] metrics.MetricRegistries: Loaded MetricRegistries class org.apache.hadoop.hbase.metrics.impl.MetricRegistriesImpl
2019-09-16 17:00:35,737 INFO  [main] regionserver.RSRpcServices: master/hadoopmaster:16000 server-side Connection retries=45
2019-09-16 17:00:35,761 INFO  [main] ipc.RpcExecutor: Instantiated default.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=3, maxQueueLength=300, handlerCount=30
2019-09-16 17:00:35,762 INFO  [main] ipc.RpcExecutor: Instantiated priority.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=2, maxQueueLength=300, handlerCount=20
2019-09-16 17:00:35,762 INFO  [main] ipc.RpcExecutor: Instantiated replication.FPBQ.Fifo with queueClass=class java.util.concurrent.LinkedBlockingQueue; numCallQueues=1, maxQueueLength=300, handlerCount=3
2019-09-16 17:00:35,877 INFO  [main] ipc.RpcServerFactory: Creating org.apache.hadoop.hbase.ipc.NettyRpcServer hosting hbase.pb.MasterService, hbase.pb.RegionServerStatusService, hbase.pb.LockService, hbase.pb.HbckService, hbase.pb.ClientService, hbase.pb.AdminService
2019-09-16 17:00:36,079 INFO  [main] ipc.NettyRpcServer: Bind to /172.29.70.242:16000
2019-09-16 17:00:36,132 INFO  [main] hfile.CacheConfig: Created cacheConfig: CacheConfig:disabled
2019-09-16 17:00:36,133 INFO  [main] hfile.CacheConfig: Created cacheConfig: CacheConfig:disabled
2019-09-16 17:00:36,585 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2019-09-16 17:00:36,588 INFO  [main] fs.HFileSystem: Added intercepting call to namenode#getBlockLocations so can do block reordering using class org.apache.hadoop.hbase.fs.HFileSystem$ReorderWALBlocks
2019-09-16 17:00:36,630 INFO  [main] zookeeper.RecoverableZooKeeper: Process identifier=master:16000 connecting to ZooKeeper ensemble=localhost:2181
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:zookeeper.version=3.4.10-39d3a4f269333c922ed3db283be479f9deacaa0f, built on 03/23/2017 10:13 GMT
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:host.name=hadoopmaster.solutis.net.br
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:java.version=1.8.0_222
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:java.vendor=Private Build
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:java.home=/usr/lib/jvm/java-8-openjdk-amd64/jre
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: uce/lib/paranamer-2.3.jar:/services/hadoop/share/hadoop/mapreduce/lib/avro-1.7.7.jar:/services/hadoop/share/hadoop/mapreduce/lib/aopalliance-1.0.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-hs-plugins-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-jobclient-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-app-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-jobclient-2.9.2-tests.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-core-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-examples-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-common-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-shuffle-2.9.2.jar:/services/hadoop/share/hadoop/mapreduce/hadoop-mapreduce-client-hs-2.9.2.jar:/services/hadoop/contrib/capacity-scheduler/*.jar:/services/hbase/lib/client-facing-thirdparty/slf4j-log4j12-1.7.25.jar
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:java.library.path=/services/hadoop/lib/native
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:java.io.tmpdir=/tmp
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:java.compiler=<NA>
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:os.name=Linux
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:os.arch=amd64
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:os.version=5.0.0-27-generic
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:user.name=hadoop
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:user.home=/home/hadoop
2019-09-16 17:00:36,633 INFO  [main] zookeeper.ZooKeeper: Client environment:user.dir=/services
